Date, ,RAIN&nbsp, ,,
 , ,INCHES, ,
10/1935,,0.00,,
11/1935,,1.23,,
12/1935,,1.59,,
01/1936,,4.64,,
02/1936,,10.76,,
03/1936,,2.41,,
04/1936,,0.93,,
05/1936,,0.31,,
06/1936,,0.25,,
07/1936,,0.00,,
08/1936,,0.00,,
09/1936,,0.05,,
10/1936,,1.48,,
11/1936,,0.00,,
12/1936,,4.47,,
01/1937,,3.30,,
02/1937,,6.03,,
03/1937,,4.55,,
04/1937,,1.04,,
05/1937,,0.00,,
06/1937,,0.03,,
07/1937,,0.00,,
08/1937,,0.00,,
09/1937,,0.00,,
10/1937,,0.44,,
11/1937,,1.51,,
12/1937,,4.65,,
01/1938,,4.86,,
02/1938,,5.85,,
03/1938,,5.62,,
04/1938,,1.77,,
05/1938,,0.00,,
06/1938,,0.05,,
07/1938,,0.00,,
08/1938,,0.00,,
09/1938,,0.33,,
10/1938,,1.93,,
11/1938,,1.21,,
12/1938,,0.96,,
01/1939,,2.78,,
02/1939,,2.34,,
03/1939,,3.32,,
04/1939,,0.39,,
05/1939,,0.67,,
06/1939,,0.00,,
07/1939,,0.00,,
08/1939,,0.00,,
09/1939,,0.00,,
10/1939,,0.91,,
11/1939,,0.23,,
12/1939,,0.96,,
01/1940,,9.29,,
02/1940,,7.33,,
03/1940,,3.81,,
04/1940,,0.04,,
05/1940,,0.00,,
06/1940,,0.00,,
07/1940,,0.00,,
08/1940,,0.00,,
09/1940,,0.00,,
10/1940,,0.83,,
11/1940,,0.26,,
12/1940,,7.90,,
01/1941,,2.22,,
02/1941,,5.54,,
03/1941,,2.08,,
04/1941,,3.62,,
05/1941,,0.12,,
06/1941,,0.00,,
07/1941,,0.00,,
08/1941,,0.00,,
09/1941,,0.00,,
10/1941,,0.80,,
11/1941,,2.10,,
12/1941,,5.01,,
01/1942,,2.36,,
02/1942,,2.42,,
03/1942,,1.97,,
04/1942,,3.55,,
05/1942,,1.72,,
06/1942,,0.00,,
07/1942,,0.00,,
08/1942,,0.03,,
09/1942,,0.00,,
10/1942,,0.15,,
11/1942,,4.60,,
12/1942,,1.95,,
01/1943,,3.61,,
02/1943,,2.25,,
03/1943,,5.93,,
04/1943,,1.24,,
05/1943,,0.00,,
06/1943,,0.00,,
07/1943,,0.00,,
08/1943,,0.00,,
09/1943,,0.01,,
10/1943,,1.20,,
11/1943,,0.47,,
12/1943,,0.77,,
01/1944,,2.95,,
02/1944,,4.58,,
03/1944,,0.93,,
04/1944,,2.11,,
05/1944,,0.21,,
06/1944,,0.02,,
07/1944,,0.00,,
08/1944,,0.00,,
09/1944,,0.00,,
10/1944,,1.72,,
11/1944,,3.94,,
12/1944,,1.38,,
01/1945,,1.39,,
02/1945,,3.40,,
03/1945,,4.36,,
04/1945,,0.40,,
05/1945,,0.64,,
06/1945,,0.26,,
07/1945,,0.00,,
08/1945,,0.00,,
09/1945,,0.11,,
10/1945,,1.98,,
11/1945,,2.95,,
12/1945,,5.29,,
01/1946,,0.99,,
02/1946,,2.20,,
03/1946,,3.28,,
04/1946,,0.00,,
05/1946,,0.86,,
06/1946,,0.00,,
07/1946,,0.06,,
08/1946,,0.00,,
09/1946,,0.58,,
10/1946,,0.00,,
11/1946,,4.04,,
12/1946,,3.27,,
01/1947,,0.64,,
02/1947,,0.88,,
03/1947,,1.62,,
04/1947,,0.59,,
05/1947,,0.48,,
06/1947,,0.22,,
07/1947,,0.00,,
08/1947,,0.00,,
09/1947,,0.02,,
10/1947,,1.20,,
11/1947,,0.71,,
12/1947,,0.57,,
01/1948,,0.15,,
02/1948,,2.38,,
03/1948,,5.21,,
04/1948,,3.87,,
05/1948,,1.33,,
06/1948,,0.00,,
07/1948,,0.00,,
08/1948,,0.00,,
09/1948,,0.00,,
10/1948,,0.43,,
11/1948,,0.28,,
12/1948,,3.66,,
01/1949,,1.73,,
02/1949,,2.37,,
03/1949,,3.87,,
04/1949,,0.00,,
05/1949,,0.65,,
06/1949,,0.05,,
07/1949,,0.00,,
08/1949,,0.00,,
09/1949,,0.00,,
10/1949,,0.01,,
11/1949,,1.40,,
12/1949,,0.96,,
01/1950,,6.00,,
02/1950,,2.20,,
03/1950,,2.60,,
04/1950,,0.94,,
05/1950,,0.35,,
06/1950,,0.03,,
07/1950,,0.00,,
08/1950,,0.00,,
09/1950,,0.51,,
10/1950,,2.12,,
11/1950,,7.55,,
12/1950,,7.62,,
01/1951,,2.08,,
02/1951,,2.61,,
03/1951,,1.53,,
04/1951,,1.17,,
05/1951,,0.77,,
06/1951,,0.09,,
07/1951,,0.00,,
08/1951,,0.00,,
09/1951,,0.00,,
10/1951,,1.36,,
11/1951,,2.32,,
12/1951,,5.93,,
01/1952,,6.76,,
02/1952,,1.62,,
03/1952,,5.33,,
04/1952,,2.51,,
05/1952,,0.35,,
06/1952,,0.00,,
07/1952,,0.11,,
08/1952,,0.00,,
09/1952,,0.04,,
10/1952,,0.26,,
11/1952,,1.24,,
12/1952,,6.19,,
01/1953,,2.07,,
02/1953,,0.00,,
03/1953,,2.20,,
04/1953,,2.33,,
05/1953,,0.76,,
06/1953,,1.31,,
07/1953,,0.00,,
08/1953,,0.00,,
09/1953,,0.00,,
10/1953,,0.58,,
11/1953,,2.08,,
12/1953,,1.33,,
01/1954,,3.15,,
02/1954,,2.54,,
03/1954,,5.69,,
04/1954,,3.87,,
05/1954,,0.08,,
06/1954,,1.46,,
07/1954,,0.00,,
08/1954,,0.00,,
09/1954,,0.00,,
10/1954,,0.00,,
11/1954,,1.04,,
12/1954,,3.54,,
01/1955,,5.25,,
02/1955,,2.39,,
03/1955,,0.12,,
04/1955,,2.78,,
05/1955,,1.29,,
06/1955,,0.00,,
07/1955,,0.00,,
08/1955,,0.00,,
09/1955,,0.00,,
10/1955,,0.05,,
11/1955,,1.81,,
12/1955,,14.55,,
01/1956,,5.91,,
02/1956,,2.00,,
03/1956,,0.04,,
04/1956,,3.46,,
05/1956,,1.84,,
06/1956,,0.00,,
07/1956,,0.00,,
08/1956,,0.00,,
09/1956,,0.54,,
10/1956,,1.36,,
11/1956,,0.00,,
12/1956,,0.90,,
01/1957,,2.92,,
02/1957,,2.47,,
03/1957,,3.11,,
04/1957,,1.25,,
05/1957,,2.65,,
06/1957,,0.04,,
07/1957,,0.00,,
08/1957,,0.00,,
09/1957,,0.86,,
10/1957,,0.63,,
11/1957,,1.02,,
12/1957,,4.33,,
01/1958,,4.68,,
02/1958,,5.95,,
03/1958,,7.48,,
04/1958,,3.83,,
05/1958,,0.80,,
06/1958,,0.05,,
07/1958,,0.00,,
08/1958,,0.01,,
09/1958,,0.27,,
10/1958,,0.00,,
11/1958,,0.29,,
12/1958,,0.37,,
01/1959,,4.50,,
02/1959,,2.74,,
03/1959,,0.81,,
04/1959,,1.47,,
05/1959,,0.14,,
06/1959,,0.00,,
07/1959,,0.00,,
08/1959,,0.00,,
09/1959,,3.23,,
10/1959,,0.00,,
11/1959,,0.00,,
12/1959,,0.77,,
01/1960,,2.92,,
02/1960,,4.59,,
03/1960,,2.34,,
04/1960,,1.86,,
05/1960,,0.13,,
06/1960,,0.00,,
07/1960,,0.00,,
08/1960,,0.00,,
09/1960,,0.00,,
10/1960,,0.29,,
11/1960,,3.74,,
12/1960,,0.65,,
01/1961,,1.83,,
02/1961,,1.34,,
03/1961,,2.60,,
04/1961,,1.08,,
05/1961,,1.39,,
06/1961,,0.00,,
07/1961,,0.11,,
08/1961,,0.05,,
09/1961,,0.29,,
10/1961,,0.05,,
11/1961,,2.99,,
12/1961,,1.73,,
01/1962,,1.59,,
02/1962,,9.46,,
03/1962,,2.79,,
04/1962,,0.26,,
05/1962,,0.01,,
06/1962,,0.00,,
07/1962,,0.09,,
08/1962,,0.00,,
09/1962,,0.04,,
10/1962,,1.39,,
11/1962,,0.32,,
12/1962,,2.86,,
01/1963,,2.36,,
02/1963,,3.58,,
03/1963,,4.14,,
04/1963,,4.06,,
05/1963,,1.26,,
06/1963,,0.03,,
07/1963,,0.00,,
08/1963,,0.00,,
09/1963,,0.14,,
10/1963,,1.59,,
11/1963,,3.70,,
12/1963,,0.31,,
01/1964,,2.76,,
02/1964,,0.17,,
03/1964,,2.65,,
04/1964,,1.18,,
05/1964,,1.40,,
06/1964,,0.17,,
07/1964,,0.00,,
08/1964,,0.31,,
09/1964,,0.01,,
10/1964,,1.71,,
11/1964,,3.85,,
12/1964,,6.58,,
01/1965,,2.78,,
02/1965,,0.72,,
03/1965,,1.46,,
04/1965,,3.85,,
05/1965,,0.00,,
06/1965,,0.00,,
07/1965,,0.00,,
08/1965,,0.00,,
09/1965,,0.00,,
10/1965,,0.44,,
11/1965,,7.09,,
12/1965,,3.39,,
01/1966,,1.32,,
02/1966,,1.00,,
03/1966,,0.42,,
04/1966,,0.47,,
05/1966,,0.10,,
06/1966,,0.00,,
07/1966,,0.05,,
08/1966,,0.00,,
09/1966,,0.15,,
10/1966,,0.00,,
11/1966,,1.92,,
12/1966,,4.14,,
01/1967,,3.84,,
02/1967,,0.86,,
03/1967,,5.21,,
04/1967,,8.54,,
05/1967,,0.35,,
06/1967,,0.98,,
07/1967,,0.00,,
08/1967,,0.00,,
09/1967,,0.06,,
10/1967,,0.30,,
11/1967,,1.78,,
12/1967,,2.28,,
01/1968,,1.79,,
02/1968,,2.39,,
03/1968,,2.98,,
04/1968,,0.77,,
05/1968,,0.46,,
06/1968,,0.00,,
07/1968,,0.00,,
08/1968,,0.08,,
09/1968,,0.00,,
10/1968,,2.15,,
11/1968,,3.47,,
12/1968,,4.11,,
01/1969,,9.29,,
02/1969,,7.35,,
03/1969,,2.48,,
04/1969,,3.26,,
05/1969,,0.11,,
06/1969,,0.00,,
07/1969,,0.02,,
08/1969,,0.00,,
09/1969,,0.20,,
10/1969,,2.05,,
11/1969,,2.24,,
12/1969,,2.72,,
01/1970,,4.88,,
02/1970,,1.86,,
03/1970,,2.52,,
04/1970,,0.65,,
05/1970,,0.00,,
06/1970,,1.37,,
07/1970,,0.00,,
08/1970,,0.00,,
09/1970,,0.00,,
10/1970,,0.47,,
11/1970,,4.51,,
12/1970,,3.93,,
01/1971,,0.85,,
02/1971,,0.48,,
03/1971,,1.67,,
04/1971,,0.35,,
05/1971,,0.83,,
06/1971,,0.00,,
07/1971,,0.00,,
08/1971,,0.00,,
09/1971,,0.09,,
10/1971,,0.06,,
11/1971,,3.25,,
12/1971,,4.41,,
01/1972,,1.17,,
02/1972,,1.20,,
03/1972,,0.01,,
04/1972,,2.02,,
05/1972,,0.16,,
06/1972,,0.00,,
07/1972,,0.00,,
08/1972,,0.00,,
09/1972,,0.03,,
10/1972,,0.38,,
11/1972,,4.81,,
12/1972,,2.91,,
01/1973,,3.26,,
02/1973,,5.71,,
03/1973,,5.61,,
04/1973,,0.44,,
05/1973,,0.00,,
06/1973,,0.04,,
07/1973,,0.00,,
08/1973,,0.00,,
09/1973,,0.00,,
10/1973,,2.70,,
11/1973,,3.05,,
12/1973,,0.00,,
01/1974,,3.04,,
02/1974,,0.83,,
03/1974,,3.54,,
04/1974,,2.58,,
05/1974,,0.00,,
06/1974,,0.00,,
07/1974,,0.70,,
08/1974,,0.00,,
09/1974,,0.00,,
10/1974,,1.49,,
11/1974,,0.91,,
12/1974,,2.84,,
01/1975,,1.43,,
02/1975,,6.40,,
03/1975,,4.86,,
04/1975,,2.38,,
05/1975,,0.00,,
06/1975,,0.00,,
07/1975,,0.07,,
08/1975,,0.26,,
09/1975,,0.00,,
10/1975,,2.25,,
11/1975,,0.71,,
12/1975,,0.41,,
01/1976,,0.36,,
02/1976,,2.82,,
03/1976,,2.17,,
04/1976,,1.12,,
05/1976,,0.00,,
06/1976,,0.00,,
07/1976,,0.01,,
08/1976,,1.28,,
09/1976,,0.63,,
10/1976,,0.99,,
11/1976,,1.15,,
12/1976,,0.38,,
01/1977,,1.18,,
02/1977,,1.05,,
03/1977,,1.66,,
04/1977,,0.03,,
05/1977,,1.50,,
06/1977,,0.38,,
07/1977,,0.00,,
08/1977,,0.00,,
09/1977,,0.01,,
10/1977,,0.04,,
11/1977,,1.25,,
12/1977,,4.16,,
01/1978,,6.00,,
02/1978,,4.53,,
03/1978,,5.13,,
04/1978,,4.97,,
05/1978,,0.00,,
06/1978,,0.02,,
07/1978,,0.00,,
08/1978,,0.00,,
09/1978,,2.80,,
10/1978,,0.00,,
11/1978,,2.50,,
12/1978,,1.73,,
01/1979,,6.74,,
02/1979,,5.15,,
03/1979,,3.56,,
04/1979,,0.64,,
05/1979,,0.32,,
06/1979,,0.00,,
07/1979,,0.08,,
08/1979,,0.00,,
09/1979,,0.00,,
10/1979,,1.88,,
11/1979,,2.11,,
12/1979,,2.86,,
01/1980,,7.03,,
02/1980,,5.97,,
03/1980,,1.90,,
04/1980,,1.05,,
05/1980,,0.45,,
06/1980,,0.00,,
07/1980,,0.07,,
08/1980,,0.00,,
09/1980,,0.00,,
10/1980,,0.71,,
11/1980,,0.00,,
12/1980,,0.00,,
01/1981,,4.62,,
02/1981,,1.39,,
03/1981,,5.04,,
04/1981,,1.01,,
05/1981,,0.10,,
06/1981,,0.00,,
07/1981,,0.00,,
08/1981,,0.00,,
09/1981,,0.02,,
10/1981,,2.56,,
11/1981,,5.33,,
12/1981,,2.58,,
01/1982,,4.09,,
02/1982,,3.75,,
03/1982,,5.76,,
04/1982,,4.00,,
05/1982,,0.00,,
06/1982,,0.17,,
07/1982,,0.02,,
08/1982,,0.00,,
09/1982,,1.78,,
10/1982,,2.45,,
11/1982,,4.68,,
12/1982,,2.72,,
01/1983,,7.49,,
02/1983,,6.67,,
03/1983,,8.66,,
04/1983,,3.87,,
05/1983,,0.23,,
06/1983,,0.00,,
07/1983,,0.00,,
08/1983,,0.17,,
09/1983,,1.10,,
10/1983,,1.10,,
11/1983,,7.53,,
12/1983,,5.64,,
01/1984,,0.31,,
02/1984,,2.80,,
03/1984,,1.35,,
04/1984,,1.01,,
05/1984,,0.22,,
06/1984,,0.46,,
07/1984,,0.00,,
08/1984,,0.00,,
09/1984,,0.41,,
10/1984,,2.09,,
11/1984,,4.00,,
12/1984,,1.18,,
01/1985,,0.96,,
02/1985,,1.56,,
03/1985,,4.04,,
04/1985,,0.12,,
05/1985,,0.00,,
06/1985,,0.40,,
07/1985,,0.00,,
08/1985,,0.00,,
09/1985,,0.27,,
10/1985,,0.99,,
11/1985,,3.91,,
12/1985,,1.72,,
01/1986,,1.24,,
02/1986,,6.29,,
03/1986,,5.27,,
04/1986,,0.74,,
05/1986,,0.26,,
06/1986,,0.00,,
07/1986,,0.00,,
08/1986,,0.00,,
09/1986,,1.00,,
10/1986,,0.00,,
11/1986,,0.20,,
12/1986,,0.51,,
01/1987,,1.95,,
02/1987,,3.25,,
03/1987,,3.56,,
04/1987,,0.15,,
05/1987,,0.11,,
06/1987,,0.00,,
07/1987,,0.00,,
08/1987,,0.00,,
09/1987,,0.00,,
10/1987,,0.56,,
11/1987,,1.18,,
12/1987,,2.93,,
01/1988,,2.11,,
02/1988,,1.07,,
03/1988,,0.60,,
04/1988,,3.10,,
05/1988,,0.66,,
06/1988,,0.06,,
07/1988,,0.00,,
08/1988,,0.00,,
09/1988,,0.00,,
10/1988,,0.00,,
11/1988,,3.41,,
12/1988,,2.91,,
01/1989,,1.02,,
02/1989,,1.72,,
03/1989,,4.81,,
04/1989,,0.34,,
05/1989,,0.16,,
06/1989,,0.13,,
07/1989,,0.00,,
08/1989,,0.18,,
09/1989,,2.13,,
10/1989,,3.11,,
11/1989,,1.30,,
12/1989,,0.00,,
01/1990,,2.42,,
02/1990,,2.52,,
03/1990,,1.55,,
04/1990,,1.35,,
05/1990,,2.00,,
06/1990,,0.00,,
07/1990,,0.00,,
08/1990,,0.00,,
09/1990,,0.04,,
10/1990,,0.06,,
11/1990,,0.92,,
12/1990,,0.67,,
01/1991,,0.10,,
02/1991,,1.91,,
03/1991,,9.95,,
04/1991,,0.40,,
05/1991,,0.28,,
06/1991,,0.05,,
07/1991,,0.00,,
08/1991,,0.14,,
09/1991,,0.00,,
10/1991,,2.43,,
11/1991,,0.39,,
12/1991,,1.98,,
01/1992,,1.53,,
02/1992,,4.65,,
03/1992,,3.03,,
04/1992,,0.00,,
05/1992,,0.01,,
06/1992,,0.21,,
07/1992,,0.47,,
08/1992,,0.00,,
09/1992,,0.00,,
10/1992,,1.28,,
11/1992,,0.07,,
12/1992,,5.96,,
01/1993,,9.82,,
02/1993,,5.58,,
03/1993,,4.17,,
04/1993,,0.69,,
05/1993,,0.87,,
06/1993,,1.05,,
07/1993,,0.00,,
08/1993,,0.00,,
09/1993,,0.00,,
10/1993,,0.59,,
11/1993,,1.19,,
12/1993,,2.14,,
01/1994,,1.96,,
02/1994,,4.75,,
03/1994,,0.22,,
04/1994,,2.12,,
05/1994,,1.08,,
06/1994,,0.00,,
07/1994,,0.00,,
08/1994,,0.00,,
09/1994,,0.27,,
10/1994,,0.44,,
11/1994,,2.90,,
12/1994,,2.00,,
01/1995,,11.26,,
02/1995,,0.72,,
03/1995,,7.00,,
04/1995,,2.47,,
05/1995,,1.07,,
06/1995,,1.57,,
07/1995,,0.04,,
08/1995,,0.00,,
09/1995,,0.00,,
10/1995,,0.00,,
11/1995,,0.00,,
12/1995,,3.91,,
01/1996,,5.40,,
02/1996,,5.23,,
03/1996,,3.09,,
04/1996,,1.68,,
05/1996,,1.41,,
06/1996,,0.25,,
07/1996,,0.00,,
08/1996,,0.02,,
09/1996,,0.00,,
10/1996,,1.62,,
11/1996,,3.87,,
12/1996,,14.88,,
01/1997,,7.64,,
02/1997,,0.22,,
03/1997,,0.03,,
04/1997,,0.18,,
05/1997,,0.03,,
06/1997,,0.08,,
07/1997,,0.00,,
08/1997,,0.00,,
09/1997,,0.07,,
10/1997,,0.27,,
11/1997,,3.48,,
12/1997,,1.88,,
01/1998,,8.74,,
02/1998,,8.78,,
03/1998,,5.55,,
04/1998,,2.90,,
05/1998,,1.53,,
06/1998,,0.67,,
07/1998,,0.00,,
08/1998,,0.00,,
09/1998,,0.29,,
10/1998,,0.31,,
11/1998,,1.14,,
12/1998,,2.40,,
01/1999,,4.29,,
02/1999,,4.33,,
03/1999,,1.73,,
04/1999,,2.11,,
05/1999,,0.28,,
06/1999,,0.03,,
07/1999,,0.00,,
08/1999,,0.00,,
09/1999,,0.00,,
10/1999,,0.17,,
11/1999,,2.12,,
12/1999,,0.10,,
01/2000,,6.36,,
02/2000,,9.64,,
03/2000,,2.78,,
04/2000,,2.10,,
05/2000,,1.25,,
06/2000,,0.49,,
07/2000,,0.00,,
08/2000,,0.00,,
09/2000,,0.00,,
10/2000,,3.44,,
11/2000,,0.24,,
12/2000,,0.46,,
01/2001,,4.51,,
02/2001,,3.12,,
03/2001,,2.06,,
04/2001,,2.64,,
05/2001,,0.00,,
06/2001,,0.00,,
07/2001,,0.05,,
08/2001,,0.00,,
09/2001,,0.33,,
10/2001,,0.56,,
11/2001,,3.74,,
12/2001,,5.84,,
01/2002,,1.92,,
02/2002,,1.08,e,
03/2002,,2.02,,
04/2002,,0.49,,
05/2002,,0.83,,
06/2002,,0.00,,
07/2002,,0.00,,
08/2002,,0.00,,
09/2002,,0.03,,
10/2002,,0.00,,
11/2002,,2.86,,
12/2002,,4.95,,
01/2003,,0.86,,
02/2003,,1.58,,
03/2003,,1.66,,
04/2003,,4.40,,
05/2003,,1.82,,
06/2003,,0.00,,
07/2003,,0.01,,
08/2003,,0.46,,
09/2003,,0.11,,
10/2003,,0.02,,
11/2003,,1.78,,
12/2003,,4.82,,
01/2004,,1.38,,
02/2004,,4.10,,
03/2004,,1.10,,
04/2004,,0.03,r,
05/2004,,0.33,,
06/2004,,0.00,,
07/2004,,0.00,,
08/2004,,0.00,,
09/2004,,0.02,,
10/2004,,6.02,,
11/2004,,2.00,,
12/2004,,4.21,,
01/2005,,7.30,,
02/2005,,3.45,,
03/2005,,6.17,,
04/2005,,0.87,,
05/2005,,2.42,,
06/2005,,0.12,,
07/2005,,0.00,,
08/2005,,0.05,,
09/2005,,0.14,,
10/2005,,0.64,,
11/2005,,0.67,,
12/2005,,4.86,,
01/2006,,4.45,,
02/2006,,1.88,,
03/2006,,5.87,r,
04/2006,,5.80,r,
05/2006,,2.23,,
06/2006,,0.00,,
07/2006,,0.00,,
08/2006,,0.00,,
09/2006,,0.00,,
10/2006,,0.81,,
11/2006,,1.79,,
12/2006,,3.25,,
01/2007,,1.12,r,
02/2007,,4.02,r,
03/2007,,0.86,,
04/2007,,1.19,r,
05/2007,,0.26,,
06/2007,,0.00,,
07/2007,,0.01,,
08/2007,,0.00,,
09/2007,,0.07,,
10/2007,,2.39,,
11/2007,,0.31,,
12/2007,,2.83,,
01/2008,,7.93,r,
02/2008,,3.28,,
03/2008,,0.05,,
04/2008,,0.01,,
05/2008,,0.37,,
06/2008,,0.00,,
07/2008,,0.00,,
08/2008,,0.00,,
09/2008,,0.00,,
10/2008,,0.73,r,
11/2008,,1.46,,
12/2008,,2.50,,
01/2009,,3.40,e,
02/2009,,3.12,,
03/2009,,1.73,,
04/2009,,0.78,,
05/2009,,0.98,,
06/2009,,0.56,,
07/2009,,0.00,,
08/2009,,0.00,,
09/2009,,0.24,,
10/2009,,1.93,,
11/2009,,0.53,,
12/2009,,4.55,,
01/2010,,5.44,,
02/2010,,3.68,,
03/2010,,2.08,,
04/2010,,5.84,,
05/2010,,0.53,,
06/2010,,0.03,,
07/2010,,0.00,,
08/2010,,0.00,e,
09/2010,,0.00,,
10/2010,,1.52,e,
11/2010,,3.43,,
12/2010,,7.63,,
01/2011,,2.02,,
02/2011,,3.83,,
03/2011,,7.35,,
04/2011,,0.72,,
05/2011,,1.44,,
06/2011,,2.03,,
07/2011,,0.00,,
08/2011,,0.00,,
09/2011,,0.01,,
10/2011,,1.21,,
11/2011,,0.73,,
12/2011,,0.00,,
01/2012,,2.47,,
02/2012,,1.03,,
03/2012,,4.47,,
04/2012,,3.62,,
05/2012,,0.00,,
06/2012,,0.27,,
07/2012,,0.01,,
08/2012,,0.00,,
09/2012,,0.08,,
10/2012,,0.23,,
11/2012,,1.57,,
12/2012,,6.13,,
01/2013,,0.94,,
02/2013,,0.65,,
03/2013,,1.55,,
04/2013,,0.61,,
05/2013,,0.63,,
06/2013,,0.09,,
07/2013,,0.00,,
08/2013,,0.00,,
09/2013,,0.00,,
10/2013,,0.06,,
11/2013,,0.93,,
12/2013,,0.53,,
01/2014,,1.06,,
02/2014,,2.47,,
03/2014,,1.83,,
04/2014,,1.06,,
05/2014,,0.04,,
06/2014,,0.00,,
07/2014,,0.00,,
08/2014,,0.03,,
09/2014,,0.01,,
10/2014,,1.47,,
11/2014,,0.63,,
12/2014,,3.95,,
01/2015,,0.03,,
02/2015,,1.41,,
03/2015,,0.14,,
04/2015,,1.22,,
05/2015,,0.17,,
06/2015,,0.00,,
07/2015,,0.01,,
08/2015,,0.00,,
09/2015,,0.01,,
10/2015,,0.76,,
11/2015,,4.49,,
12/2015,,5.32,,
01/2016,,--,,
